,precision,recall,f1-score,support
back,1.0,0.9851851851851852,0.9925373134328358,405.0
buffer_overflow,0.013245033112582781,0.4,0.02564102564102564,5.0
ftp_write,0.0,0.0,0.0,0.0
guess_passwd,0.0703125,1.0,0.13138686131386862,9.0
imap,0.0,0.0,0.0,3.0
ipsweep,0.15206035983749275,1.0,0.2639798488664987,262.0
land,0.0,0.0,0.0,5.0
loadmodule,0.0,0.0,0.0,1.0
multihop,0.0,0.0,0.0,0.0
neptune,0.9717299963463646,0.9992955100507233,0.9853199962952671,21292.0
nmap,0.005956320317670417,0.18,0.011531069827033953,50.0
normal,0.9927352705945082,0.7681794739556472,0.8661394429260918,19390.0
perl,0.0,0.0,0.0,1.0
phf,0.0,0.0,0.0,0.0
pod,0.2904761904761905,1.0,0.45018450184501846,61.0
portsweep,0.09803921568627451,0.09433962264150944,0.09615384615384615,212.0
rootkit,0.0,0.0,0.0,3.0
satan,0.9963636363636363,0.791907514450867,0.8824476650563606,346.0
smurf,0.999893411024853,0.9989883213233467,0.9994406612626849,56342.0
spy,0.0,0.0,0.0,0.0
teardrop,0.13123359580052493,0.22935779816513763,0.1669449081803005,218.0
warezclient,0.15966386554621848,0.09693877551020408,0.12063492063492064,196.0
warezmaster,0.23076923076923078,1.0,0.375,3.0
accuracy,0.9469758309380187,0.9469758309380187,0.9469758309380187,0.9469758309380187
macro avg,0.2657599402554586,0.41496487831663564,0.2768409591928588,98804.0
weighted avg,0.9834104260931308,0.9469758309380187,0.9612133786644981,98804.0
