,precision,recall,f1-score,support
back,1.0,0.9037037037037037,0.9494163424124513,405.0
buffer_overflow,0.0,0.0,0.0,5.0
guess_passwd,0.0,0.0,0.0,9.0
imap,0.0,0.0,0.0,3.0
ipsweep,0.907258064516129,0.8587786259541985,0.8823529411764707,262.0
land,0.0,0.0,0.0,5.0
loadmodule,0.0,0.0,0.0,1.0
neptune,0.997889404812157,0.9992485440541048,0.9985685119564452,21292.0
nmap,0.0,0.0,0.0,50.0
normal,0.9865590024020033,0.9955647240845796,0.9910414046256127,19390.0
perl,0.0,0.0,0.0,1.0
pod,0.0,0.0,0.0,61.0
portsweep,0.6182432432432432,0.8632075471698113,0.7204724409448818,212.0
rootkit,0.0,0.0,0.0,3.0
satan,0.9829351535836177,0.8323699421965318,0.9014084507042254,346.0
smurf,0.9996451383960255,0.9999645025025735,0.9998047949459636,56342.0
teardrop,0.6749226006191951,1.0,0.8059149722735675,218.0
warezclient,0.42857142857142855,0.04591836734693878,0.08294930875576038,196.0
warezmaster,0.0,0.0,0.0,3.0
accuracy,0.9939779766001376,0.9939779766001376,0.9939779766001376,0.9939779766001376
macro avg,0.3997907387444105,0.3946713661585496,0.38589100883133576,98804.0
weighted avg,0.9923023817040796,0.9939779766001376,0.9926832967114063,98804.0
